"id";"secid";"open";"close";"high";"low";"value";"volume";"dt";"dt_end"
17999;"IMOEX";3218.48;3227.99;3234.68;3211.94;69633845179.8;0.0;2023-08-31 00:00:00.000;2023-08-31 23:59:59.000
18000;"IMOEX";3230.53;3231.35;3232.92;3214.95;54848329183.4;0.0;2023-09-01 00:00:00.000;2023-09-01 23:59:59.000
18001;"IMOEX";3242.49;3268.97;3268.97;3242.4;79115006708.75;0.0;2023-09-04 00:00:00.000;2023-09-04 23:59:59.000
18002;"IMOEX";3273.39;3264.43;3287.34;3246.46;69983337336.7;0.0;2023-09-05 00:00:00.000;2023-09-05 23:59:59.000
18003;"IMOEX";3270.84;3245.47;3270.84;3236.79;61766334286.2;0.0;2023-09-06 00:00:00.000;2023-09-06 23:59:59.000
18004;"IMOEX";3247.9;3169.07;3262.73;3145.25;110748686130;0.0;2023-09-07 00:00:00.000;2023-09-07 23:59:59.000
18005;"IMOEX";3178.44;3142.88;3188.77;3114.39;73021984581.6;0.0;2023-09-08 00:00:00.000;2023-09-08 23:59:59.000
18006;"IMOEX";3145.26;3122.37;3153.61;3106.92;69351105559.2;0.0;2023-09-11 00:00:00.000;2023-09-11 23:59:59.000
18007;"IMOEX";3118.14;3165.92;3165.92;3117.7;63830695936.8;0.0;2023-09-12 00:00:00.000;2023-09-12 23:59:59.000
18008;"IMOEX";3189.08;3148.32;3191.57;3148.32;49516509449;0.0;2023-09-13 00:00:00.000;2023-09-13 23:59:59.000
18009;"IMOEX";3144.29;3139.49;3148.5;3072.82;76786367100.8;0.0;2023-09-14 00:00:00.000;2023-09-14 23:59:59.000
18010;"IMOEX";3126.57;3152.53;3155.45;3116.72;54277283310.25;0.0;2023-09-15 00:00:00.000;2023-09-15 23:59:59.000
18011;"IMOEX";3165.06;3135.18;3177.23;3127.37;56641551167.95;0.0;2023-09-18 00:00:00.000;2023-09-18 23:59:59.000
18012;"IMOEX";3134.37;3083.85;3141.38;3054.25;91514235959;0.0;2023-09-19 00:00:00.000;2023-09-19 23:59:59.000
